character,processed_images,status
ariel_little_mermaid,0,insufficient
ash_ketchum,0,insufficient
bart_simpson,0,insufficient
belle_beauty_beast,0,insufficient
bugs_bunny,0,insufficient
buzz_lightyear,0,insufficient
daffy_duck,0,insufficient
donald_duck,0,insufficient
edward_elric,0,insufficient
elsa_frozen,0,insufficient
eren_yeager,0,insufficient
fred_flintstone,0,insufficient
goku_dragon_ball,0,insufficient
goofy,0,insufficient
hinata_hyuga,0,insufficient
homer_simpson,0,insufficient
ichigo_bleach,0,insufficient
jerry_mouse,0,insufficient
light_yagami,0,insufficient
mickey_mouse,0,insufficient
minnie_mouse,0,insufficient
moana,0,insufficient
monkey_d_luffy,0,insufficient
mulan,0,insufficient
naruto_uzumaki,0,insufficient
natsu_dragneel,0,insufficient
nemo,0,insufficient
olaf_frozen,0,insufficient
patrick_star,0,insufficient
pikachu,0,insufficient
pluto_disney,0,insufficient
popeye,0,insufficient
porky_pig,0,insufficient
sailor_moon,0,insufficient
saitama_one_punch,0,insufficient
scooby_doo,0,insufficient
shaggy_rogers,0,insufficient
simba_lion_king,0,insufficient
spongebob_squarepants,0,insufficient
sylvester_cat,0,insufficient
tanjiro_demon_slayer,0,insufficient
tom_cat,0,insufficient
tweety_bird,0,insufficient
vegeta,0,insufficient
woody_toy_story,0,insufficient
